[00:06:13.130 --> 00:06:13.610]   impossible
[00:08:48.010 --> 00:08:48.170]   And
[00:08:48.170 --> 00:08:48.560]   think
[00:08:48.560 --> 00:08:48.790]   big
[00:08:48.790 --> 00:08:49.040]  .
[00:08:49.040 --> 00:08:49.370]   What
[00:08:49.370 --> 00:08:49.410]   do
[00:08:49.410 --> 00:08:49.530]   you
[00:08:49.530 --> 00:08:49.750]   hope
[00:08:49.750 --> 00:08:49.860]   is
[00:08:49.860 --> 00:08:50.020]   the
[00:08:50.020 --> 00:08:50.350]   future
[00:08:50.350 --> 00:08:50.460]   of
[00:08:50.460 --> 00:08:50.900]   humanity
[00:08:50.900 --> 00:08:51.080]  ?
[00:08:51.080 --> 00:08:51.700]   Hundreds
[00:08:51.700 --> 00:08:51.910]  ,
[00:08:51.910 --> 00:08:52.540]   thousands
[00:08:52.540 --> 00:08:52.610]   of
[00:08:52.610 --> 00:08:52.960]   years
[00:08:52.960 --> 00:08:53.330]   from
[00:08:53.330 --> 00:08:53.480]   now
[00:08:53.480 --> 00:08:53.700]   out
[00:08:53.700 --> 00:08:53.850]   in
[00:08:53.850 --> 00:08:54.250]   space
[00:08:54.250 --> 00:08:54.480]  .
[00:08:54.480 --> 00:08:54.950]   I
[00:08:54.950 --> 00:08:55.660]   would
[00:08:55.660 --> 00:08:55.700]   love
[00:08:55.700 --> 00:08:55.920]   to
[00:08:55.920 --> 00:08:56.280]   see
[00:08:56.280 --> 00:08:56.520]  ,
[00:08:56.520 --> 00:08:56.880]   you
[00:08:56.880 --> 00:08:57.360]   know
[00:08:57.360 --> 00:08:57.620]  ,
[00:08:57.620 --> 00:08:57.860]   a
[00:08:57.860 --> 00:08:58.710]   trillion
[00:08:58.710 --> 00:08:59.440]   humans
[00:08:59.440 --> 00:09:00.410]   living
[00:09:00.410 --> 00:09:00.720]   in
[00:09:00.720 --> 00:09:00.830]   the
[00:09:00.830 --> 00:09:01.380]   solar
[00:09:01.380 --> 00:09:02.110]   system
[00:09:02.110 --> 00:09:02.520]  .
[00:09:02.520 --> 00:09:02.760]   If
[00:09:02.760 --> 00:09:03.050]   we
[00:09:03.050 --> 00:09:03.100]   had
[00:09:03.100 --> 00:09:03.120]   a
[00:09:03.120 --> 00:09:03.730]   trillion
[00:09:03.730 --> 00:09:04.190]   humans
[00:09:04.190 --> 00:09:04.340]  ,
[00:09:04.340 --> 00:09:04.490]   we
[00:09:04.490 --> 00:09:04.870]   would
[00:09:04.870 --> 00:09:05.170]   have
[00:09:05.170 --> 00:09:05.320]  ,
[00:09:05.320 --> 00:09:05.470]   at
[00:09:05.470 --> 00:09:05.850]   any
[00:09:05.850 --> 00:09:06.080]   given
[00:09:06.080 --> 00:09:06.380]   time
[00:09:06.380 --> 00:09:06.620]  ,
[00:09:06.620 --> 00:09:06.660]   a
[00:09:06.660 --> 00:09:07.030]   thousand
[00:09:07.030 --> 00:09:07.170]   Moz
[00:09:07.170 --> 00:09:07.350]  arts
[00:09:07.350 --> 00:09:07.490]   and
[00:09:07.490 --> 00:09:07.520]   a
[00:09:07.520 --> 00:09:07.900]   thousand
[00:09:07.900 --> 00:09:08.080]   Ein
[00:09:08.080 --> 00:09:08.180]  ste
[00:09:08.180 --> 00:09:08.320]  ins
[00:09:08.320 --> 00:09:08.520]  .
[00:09:08.520 --> 00:09:08.830]   That
[00:09:08.830 --> 00:09:09.240]   would
[00:09:09.240 --> 00:09:09.400]  ,
[00:09:09.400 --> 00:09:09.670]   you
[00:09:09.670 --> 00:09:10.010]   know
[00:09:10.010 --> 00:09:10.120]  ,
[00:09:10.120 --> 00:09:10.390]   our
[00:09:10.390 --> 00:09:10.760]   solar
[00:09:10.760 --> 00:09:11.250]   system
[00:09:11.250 --> 00:09:11.640]   would
[00:09:11.640 --> 00:09:11.800]   be
[00:09:11.800 --> 00:09:12.130]   full
[00:09:12.130 --> 00:09:12.310]   of
[00:09:12.310 --> 00:09:12.690]   life
[00:09:12.690 --> 00:09:12.850]   and
[00:09:12.850 --> 00:09:13.830]   intelligence
[00:09:13.830 --> 00:09:14.090]   and
[00:09:14.090 --> 00:09:14.560]   energy
[00:09:14.560 --> 00:09:14.900]  .
[00:09:14.900 --> 00:09:15.070]   And
[00:09:15.070 --> 00:09:15.300]   we
[00:09:15.300 --> 00:09:15.600]   can
[00:09:15.600 --> 00:09:16.100]   easily
[00:09:16.100 --> 00:09:16.590]   support
[00:09:16.590 --> 00:09:16.670]   a
[00:09:16.670 --> 00:09:17.650]   civilization
[00:09:17.650 --> 00:09:17.920]  .
[00:09:17.920 --> 00:09:17.930]
[00:09:17.930 --> 00:09:17.980]   A
[00:09:17.980 --> 00:09:18.810]   civilization
[00:09:18.810 --> 00:09:19.080]   that
[00:09:19.080 --> 00:09:19.420]   large
[00:09:19.420 --> 00:09:19.690]   with
[00:09:19.690 --> 00:09:19.890]   all
[00:09:19.890 --> 00:09:20.020]   of
[00:09:20.020 --> 00:09:20.220]   the
[00:09:20.220 --> 00:09:20.840]   resources
[00:09:20.840 --> 00:09:20.970]   in
[00:09:20.970 --> 00:09:21.330]   the
[00:09:21.330 --> 00:09:21.510]   solar
[00:09:21.510 --> 00:09:21.910]   system
[00:09:21.910 --> 00:09:22.220]  .
[00:09:22.220 --> 00:09:22.420]   So
[00:09:22.420 --> 00:09:22.620]  ,
[00:09:22.620 --> 00:09:22.700]   what
[00:09:22.700 --> 00:09:22.720]   do
[00:09:22.720 --> 00:09:22.870]   you
[00:09:22.870 --> 00:09:23.120]   think
[00:09:23.120 --> 00:09:23.320]   that
[00:09:23.320 --> 00:09:23.560]   looks
[00:09:23.560 --> 00:09:23.770]   like
[00:09:23.770 --> 00:09:23.980]  ?
[00:09:23.980 --> 00:09:24.620]   Giant
[00:09:24.620 --> 00:09:24.840]   space
[00:09:24.840 --> 00:09:25.530]   stations
[00:09:25.530 --> 00:09:25.800]  ?
[00:09:25.800 --> 00:09:26.030]   Yeah
[00:09:26.030 --> 00:09:26.200]  .
[00:09:26.200 --> 00:09:26.370]   The
[00:09:26.370 --> 00:09:26.590]   only
[00:09:26.590 --> 00:09:26.760]   way
[00:09:26.760 --> 00:09:26.880]   to
[00:09:26.880 --> 00:09:27.040]   get
[00:09:27.040 --> 00:09:27.190]   to
[00:09:27.190 --> 00:09:27.370]   that
[00:09:27.370 --> 00:09:27.710]   vision
[00:09:27.710 --> 00:09:27.820]   is
[00:09:27.820 --> 00:09:28.070]   with
[00:09:28.070 --> 00:09:28.320]   giant
[00:09:28.320 --> 00:09:28.600]   space
[00:09:28.600 --> 00:09:29.050]   stations
[00:09:29.050 --> 00:09:29.280]  .
[00:09:29.280 --> 00:09:29.470]   You
[00:09:29.470 --> 00:09:29.730]   know
[00:09:29.730 --> 00:09:29.860]  ,
[00:09:29.860 --> 00:09:30.210]   the
[00:09:30.210 --> 00:09:30.640]   planetary
[00:09:30.640 --> 00:09:31.160]   surfaces
[00:09:31.160 --> 00:09:31.350]   are
[00:09:31.350 --> 00:09:31.610]   just
[00:09:31.610 --> 00:09:31.800]   way
[00:09:31.800 --> 00:09:32.000]   too
[00:09:32.000 --> 00:09:32.320]   small
[00:09:32.320 --> 00:09:32.580]  .
[00:09:32.580 --> 00:09:32.870]   So
[00:09:32.870 --> 00:09:32.960]  ,
[00:09:32.960 --> 00:09:33.250]   you
[00:09:33.250 --> 00:09:33.540]   can
[00:09:33.540 --> 00:09:34.420]  ...
[00:09:34.420 --> 00:09:34.460]   I
[00:09:34.460 --> 00:09:34.640]   mean
[00:09:34.640 --> 00:09:34.740]  ,
[00:09:34.740 --> 00:09:35.000]   unless
[00:09:35.000 --> 00:09:35.130]   you
[00:09:35.130 --> 00:09:35.310]   turn
[00:09:35.310 --> 00:09:35.490]   them
[00:09:35.490 --> 00:09:35.670]   into
[00:09:35.670 --> 00:09:35.900]   giant
[00:09:35.900 --> 00:09:36.130]   space
[00:09:36.130 --> 00:09:36.490]   stations
[00:09:36.490 --> 00:09:36.580]   or
[00:09:36.580 --> 00:09:36.990]   something
[00:09:36.990 --> 00:09:37.180]  .
[00:09:37.180 --> 00:09:37.460]   But
[00:09:37.460 --> 00:09:37.690]  ,
[00:09:37.690 --> 00:09:38.010]   yeah
[00:09:38.010 --> 00:09:38.300]  .
[00:09:38.300 --> 00:09:38.500]   We
[00:09:38.500 --> 00:09:38.790]   will
[00:09:38.790 --> 00:09:39.120]   take
[00:09:39.120 --> 00:09:39.860]   materials
[00:09:39.860 --> 00:09:40.190]   from
[00:09:40.190 --> 00:09:40.440]   the
[00:09:40.440 --> 00:09:40.760]   moon
[00:09:40.760 --> 00:09:41.070]   and
[00:09:41.070 --> 00:09:41.570]   from
[00:09:41.570 --> 00:09:41.680]   near
[00:09:41.680 --> 00:09:41.760]  -
[00:09:41.760 --> 00:09:41.920]  E
[00:09:41.920 --> 00:09:42.300]  arth
[00:09:42.300 --> 00:09:42.820]   objects
[00:09:42.820 --> 00:09:43.000]   and
[00:09:43.000 --> 00:09:43.330]   from
[00:09:43.330 --> 00:09:43.580]   the
[00:09:43.580 --> 00:09:44.240]   asteroid
[00:09:44.240 --> 00:09:44.570]   belt
[00:09:44.570 --> 00:09:44.820]   and
[00:09:44.820 --> 00:09:44.970]   so
[00:09:44.970 --> 00:09:45.140]   on
[00:09:45.140 --> 00:09:45.460]  .
[00:09:45.460 --> 00:09:45.690]   And
[00:09:45.690 --> 00:09:45.940]   we
[00:09:45.940 --> 00:09:46.150]  'll
[00:09:46.150 --> 00:09:46.550]   build
[00:09:46.550 --> 00:09:47.360]  ...
[00:09:47.360 --> 00:09:47.410]
[00:09:47.410 --> 00:09:47.840]   Giant
[00:09:47.840 --> 00:09:47.890]   O
[00:09:47.890 --> 00:09:47.940]  '
[00:09:47.940 --> 00:09:48.100]  Ne
[00:09:48.100 --> 00:09:48.350]  ill
[00:09:48.350 --> 00:09:48.430]  -
[00:09:48.430 --> 00:09:48.890]  style
[00:09:48.890 --> 00:09:49.520]   colonies
[00:09:49.520 --> 00:09:49.820]  .
[00:09:49.820 --> 00:09:50.540]   And
[00:09:50.540 --> 00:09:50.630]   people
[00:09:50.630 --> 00:09:51.050]   will
[00:09:51.050 --> 00:09:51.350]   live
[00:09:51.350 --> 00:09:51.530]   in
[00:09:51.530 --> 00:09:51.980]   those
[00:09:51.980 --> 00:09:52.260]  .
[00:09:52.260 --> 00:09:52.420]   And
[00:09:52.420 --> 00:09:52.630]   they
[00:09:52.630 --> 00:09:52.840]   have
[00:09:52.840 --> 00:09:52.890]   a
[00:09:52.890 --> 00:09:53.050]   lot
[00:09:53.050 --> 00:09:53.150]   of
[00:09:53.150 --> 00:09:53.690]   advantages
[00:09:53.690 --> 00:09:53.900]   over
[00:09:53.900 --> 00:09:54.390]   planetary
[00:09:54.390 --> 00:09:54.860]   surfaces
[00:09:54.860 --> 00:09:55.040]  .
[00:09:55.040 --> 00:09:55.280]   You
[00:09:55.280 --> 00:09:55.570]   can
[00:09:55.570 --> 00:09:55.850]   spin
[00:09:55.850 --> 00:09:56.180]   them
[00:09:56.180 --> 00:09:56.340]   to
[00:09:56.340 --> 00:09:56.580]   get
[00:09:56.580 --> 00:09:57.180]   normal
[00:09:57.180 --> 00:09:57.480]   Earth
[00:09:57.480 --> 00:09:58.050]   gravity
[00:09:58.050 --> 00:09:58.340]  .
[00:09:58.340 --> 00:09:58.560]   You
[00:09:58.560 --> 00:09:58.740]   can
[00:09:58.740 --> 00:09:58.950]   put
[00:09:58.950 --> 00:09:59.210]   them
[00:09:59.210 --> 00:09:59.550]   where
[00:09:59.550 --> 00:09:59.750]   you
[00:09:59.750 --> 00:10:00.020]   want
[00:10:00.020 --> 00:10:00.280]   them
[00:10:00.280 --> 00:10:00.540]  .
[00:10:00.540 --> 00:10:00.820]   I
[00:10:00.820 --> 00:10:01.030]   think
[00:10:01.030 --> 00:10:01.350]   most
[00:10:01.350 --> 00:10:01.840]   people
[00:10:01.840 --> 00:10:02.080]   are
[00:10:02.080 --> 00:10:02.490]   going
[00:10:02.490 --> 00:10:02.560]   to
[00:10:02.560 --> 00:10:02.960]   want
[00:10:02.960 --> 00:10:03.250]   to
[00:10:03.250 --> 00:10:03.450]   live
[00:10:03.450 --> 00:10:03.770]   near
[00:10:03.770 --> 00:10:04.180]   Earth
[00:10:04.180 --> 00:10:04.480]  .
[00:10:04.480 --> 00:10:04.820]   Not
[00:10:04.820 --> 00:10:06.070]   necessarily
[00:10:06.070 --> 00:10:06.680]   in
[00:10:06.680 --> 00:10:06.850]   Earth
[00:10:06.850 --> 00:10:07.520]   orbit
[00:10:07.520 --> 00:10:07.630]  ,
[00:10:07.630 --> 00:10:08.010]   but
[00:10:08.010 --> 00:10:08.190]   in
[00:10:08.190 --> 00:10:08.410]  ,
[00:10:08.410 --> 00:10:08.750]   you
[00:10:08.750 --> 00:10:09.190]   know
[00:10:09.190 --> 00:10:09.510]  ,
[00:10:09.510 --> 00:10:09.980]   Earth
[00:10:09.980 --> 00:10:10.880]   vicinity
[00:10:10.880 --> 00:10:11.570]   orbits
[00:10:11.570 --> 00:10:12.000]  .
[00:10:12.000 --> 00:10:12.260]   And
[00:10:12.260 --> 00:10:12.430]   so
[00:10:12.430 --> 00:10:12.600]  ,
[00:10:12.600 --> 00:10:12.950]   they
[00:10:12.950 --> 00:10:13.220]   can
[00:10:13.220 --> 00:10:13.600]   move
[00:10:13.600 --> 00:10:13.730]  ,
[00:10:13.730 --> 00:10:13.990]   you
[00:10:13.990 --> 00:10:14.340]   know
[00:10:14.340 --> 00:10:14.530]  ,
[00:10:14.530 --> 00:10:15.380]   relatively
[00:10:15.380 --> 00:10:15.990]   quickly
[00:10:15.990 --> 00:10:16.460]   back
[00:10:16.460 --> 00:10:16.700]   and
[00:10:16.700 --> 00:10:17.030]   forth
[00:10:17.030 --> 00:10:17.340]  .
[00:10:17.340 --> 00:10:17.460]
[00:10:17.460 --> 00:10:17.840]   forth
[00:10:17.840 --> 00:10:18.750]   between
[00:10:18.750 --> 00:10:18.840]   their
[00:10:18.840 --> 00:10:19.480]   station
[00:10:19.480 --> 00:10:19.670]   and
[00:10:19.670 --> 00:10:19.960]   earth
[00:10:19.960 --> 00:10:20.150]   so
[00:10:20.150 --> 00:10:20.350]   but
[00:10:20.350 --> 00:10:20.660]   i
[00:10:20.660 --> 00:10:20.750]   think
[00:10:20.750 --> 00:10:20.810]   a
[00:10:20.810 --> 00:10:21.010]   lot
[00:10:21.010 --> 00:10:21.170]   of
[00:10:21.170 --> 00:10:21.550]   people
[00:10:21.550 --> 00:10:22.250]   especially
[00:10:22.250 --> 00:10:22.360]   in
[00:10:22.360 --> 00:10:22.560]   the
[00:10:22.560 --> 00:10:22.980]   early
[00:10:22.980 --> 00:10:23.410]   stages
[00:10:23.410 --> 00:10:23.620]   are
[00:10:23.620 --> 00:10:23.830]   not
[00:10:23.830 --> 00:10:24.190]   going
[00:10:24.190 --> 00:10:24.330]   to
[00:10:24.330 --> 00:10:24.760]   want
[00:10:24.760 --> 00:10:24.800]   to
[00:10:24.800 --> 00:10:25.050]   give
[00:10:25.050 --> 00:10:25.220]   up
[00:10:25.220 --> 00:10:25.550]   earth
[00:10:25.550 --> 00:10:26.270]   altogether
[00:10:26.270 --> 00:10:26.560]   they
[00:10:26.560 --> 00:10:26.700]   go
[00:10:26.700 --> 00:10:26.840]   to
[00:10:26.840 --> 00:10:27.200]   earth
[00:10:27.200 --> 00:10:27.410]   for
[00:10:27.410 --> 00:10:28.140]   vacation
[00:10:28.140 --> 00:10:28.360]   yeah
[00:10:28.360 --> 00:10:28.740]   same
[00:10:28.740 --> 00:10:28.830]   way
[00:10:28.830 --> 00:10:29.100]   that
[00:10:29.100 --> 00:10:29.380]   you
[00:10:29.380 --> 00:10:29.570]   know
[00:10:29.570 --> 00:10:29.770]   you
[00:10:29.770 --> 00:10:30.110]   might
[00:10:30.110 --> 00:10:30.240]   go
[00:10:30.240 --> 00:10:30.370]   to
[00:10:30.370 --> 00:10:30.590]   to
[00:10:30.590 --> 00:10:30.910]   yellow
[00:10:30.910 --> 00:10:31.250]  stone
[00:10:31.250 --> 00:10:31.790]   national
[00:10:31.790 --> 00:10:32.060]   park
[00:10:32.060 --> 00:10:32.260]   for
[00:10:32.260 --> 00:10:32.800]   vacation
[00:10:32.800 --> 00:10:33.300]   people
[00:10:33.300 --> 00:10:33.520]   will
[00:10:33.520 --> 00:10:33.630]   uh
[00:10:33.630 --> 00:10:33.810]   and
[00:10:33.810 --> 00:10:34.010]   the
[00:10:34.010 --> 00:10:34.200]   event
[00:10:34.200 --> 00:10:34.550]   and
[00:10:34.550 --> 00:10:34.570]   no
[00:10:34.570 --> 00:10:34.720]   one
[00:10:34.720 --> 00:10:34.890]   and
[00:10:34.890 --> 00:10:35.230]   people
[00:10:35.230 --> 00:10:35.400]   get
[00:10:35.400 --> 00:10:35.570]   to
[00:10:35.570 --> 00:10:35.840]   choose
[00:10:35.840 --> 00:10:36.140]   where
[00:10:36.140 --> 00:10:36.370]   they
[00:10:36.370 --> 00:10:36.600]   live
[00:10:36.600 --> 00:10:36.710]   on
[00:10:36.710 --> 00:10:37.000]   earth
[00:10:37.000 --> 00:10:37.110]   or
[00:10:37.110 --> 00:10:37.430]   where
[00:10:37.430 --> 00:10:37.720]   they
[00:10:37.720 --> 00:10:38.060]   live
[00:10:38.060 --> 00:10:38.230]   in
[00:10:38.230 --> 00:10:38.910]   space
[00:10:38.910 --> 00:10:39.230]   but
[00:10:39.230 --> 00:10:39.250]   they
[00:10:39.250 --> 00:10:39.500]  'll
[00:10:39.500 --> 00:10:39.670]   be
[00:10:39.670 --> 00:10:40.010]   able
[00:10:40.010 --> 00:10:40.180]   to
[00:10:40.180 --> 00:10:40.460]   use
[00:10:40.460 --> 00:10:40.770]   much
[00:10:40.770 --> 00:10:41.110]   more
[00:10:41.110 --> 00:10:41.620]   energy
[00:10:41.620 --> 00:10:41.870]   and
[00:10:41.870 --> 00:10:42.290]   much
[00:10:42.290 --> 00:10:42.550]   more
[00:10:42.550 --> 00:10:43.230]   material
[00:10:43.230 --> 00:10:43.910]   resource
[00:10:43.910 --> 00:10:44.180]   in
[00:10:44.180 --> 00:10:44.580]   space
[00:10:44.580 --> 00:10:44.580]
[00:10:44.580 --> 00:10:44.840]   than
[00:10:44.840 --> 00:10:45.100]   they
[00:10:45.100 --> 00:10:45.420]   would
[00:10:45.420 --> 00:10:45.550]   be
[00:10:45.550 --> 00:10:45.810]   able
[00:10:45.810 --> 00:10:45.940]   to
[00:10:45.940 --> 00:10:46.150]   use
[00:10:46.150 --> 00:10:46.260]   on
[00:10:46.260 --> 00:10:46.770]   earth
[00:10:46.770 --> 00:10:46.920]   one
[00:10:46.920 --> 00:10:47.480]   interesting
[00:10:47.480 --> 00:10:47.740]   idea
[00:10:47.740 --> 00:10:47.870]   is
[00:10:47.870 --> 00:10:48.060]   you
[00:10:48.060 --> 00:10:48.250]   had
[00:10:48.250 --> 00:10:48.380]   is
[00:10:48.380 --> 00:10:48.510]   to
[00:10:48.510 --> 00:10:48.770]   move
[00:10:48.770 --> 00:10:49.020]   the
[00:10:49.020 --> 00:10:49.380]   heavy
[00:10:49.380 --> 00:10:50.140]   industry
[00:10:50.140 --> 00:10:50.230]   away
[00:10:50.230 --> 00:10:50.500]   from
[00:10:50.500 --> 00:10:50.870]   earth
[00:10:50.870 --> 00:10:51.230]   so
[00:10:51.230 --> 00:10:51.440]   people
[00:10:51.440 --> 00:10:52.120]   sometimes
[00:10:52.120 --> 00:10:52.380]   have
[00:10:52.380 --> 00:10:52.650]   this
[00:10:52.650 --> 00:10:52.930]   idea
[00:10:52.930 --> 00:10:53.430]   that
[00:10:53.430 --> 00:10:53.710]   somehow
[00:10:53.710 --> 00:10:54.160]   space
[00:10:54.160 --> 00:10:54.760]   exploration
[00:10:54.760 --> 00:10:54.920]   is
[00:10:54.920 --> 00:10:55.170]   in
[00:10:55.170 --> 00:10:55.840]   conflict
[00:10:55.840 --> 00:10:56.130]   with
[00:10:56.130 --> 00:10:56.370]   the
[00:10:56.370 --> 00:10:57.340]   celebration
[00:10:57.340 --> 00:10:57.510]   of
[00:10:57.510 --> 00:10:57.770]   the
[00:10:57.770 --> 00:10:58.280]   planet
[00:10:58.280 --> 00:10:58.720]   earth
[00:10:58.720 --> 00:10:59.050]   that
[00:10:59.050 --> 00:10:59.220]   we
[00:10:59.220 --> 00:11:00.020]   should
[00:11:00.020 --> 00:11:00.160]   focus
[00:11:00.160 --> 00:11:00.330]   on
[00:11:00.330 --> 00:11:01.260]   preserving
[00:11:01.260 --> 00:11:01.660]   earth
[00:11:01.660 --> 00:11:02.070]   and
[00:11:02.070 --> 00:11:02.630]   basically
[00:11:02.630 --> 00:11:02.950]   your
[00:11:02.950 --> 00:11:03.270]   idea
[00:11:03.270 --> 00:11:03.430]   is
[00:11:03.430 --> 00:11:03.760]   that
[00:11:03.760 --> 00:11:04.040]   space
[00:11:04.040 --> 00:11:04.630]   travel
[00:11:04.630 --> 00:11:04.870]   and
[00:11:04.870 --> 00:11:05.270]   space
[00:11:05.270 --> 00:11:06.200]   exploration
[00:11:06.200 --> 00:11:06.320]   is
[00:11:06.320 --> 00:11:06.400]   a
[00:11:06.400 --> 00:11:06.640]   way
[00:11:06.640 --> 00:11:06.790]   to
[00:11:06.790 --> 00:11:07.440]   preserve
[00:11:07.440 --> 00:11:07.920]   earth
[00:11:07.920 --> 00:11:08.800]   exactly
[00:11:08.800 --> 00:11:09.360]   this
[00:11:09.360 --> 00:11:09.840]   planet
[00:11:09.840 --> 00:11:10.060]   we
[00:11:10.060 --> 00:11:10.630]  've
[00:11:10.630 --> 00:11:10.850]   sent
[00:11:10.850 --> 00:11:12.050]   robotic
[00:11:12.050 --> 00:11:12.090]   prob
[00:11:12.090 --> 00:11:12.400]  es
[00:11:12.400 --> 00:11:12.530]   to
[00:11:12.530 --> 00:11:12.970]   all
[00:11:12.970 --> 00:11:13.280]   the
[00:11:13.280 --> 00:11:14.060]   planets
[00:11:14.060 --> 00:11:14.560]   we
[00:11:14.560 --> 00:11:14.560]  've
[00:11:14.560 --> 00:11:14.560]   sent
[00:11:14.560 --> 00:11:14.560]   robotic
[00:11:14.560 --> 00:11:14.560]   prob
[00:11:14.560 --> 00:11:14.560]  es
[00:11:14.560 --> 00:11:14.560]   to
[00:11:14.560 --> 00:11:14.560]   all
[00:11:14.560 --> 00:11:14.560]   the
[00:11:14.560 --> 00:11:14.560]   planets
[00:11:14.560 --> 00:11:14.560]   we
[00:11:14.560 --> 00:11:14.560]  've
[00:11:14.560 --> 00:11:14.560]   sent
[00:11:14.560 --> 00:11:14.560]   robotic
[00:11:14.560 --> 00:11:14.560]   prob
[00:11:14.560 --> 00:11:14.560]  es
[00:11:14.560 --> 00:11:14.560]   to
[00:11:14.560 --> 00:11:14.560]   all
[00:11:14.560 --> 00:11:14.560]   the
[00:11:14.560 --> 00:11:14.560]   planets
[00:11:14.560 --> 00:11:14.560]
[00:11:14.560 --> 00:11:14.660]   we
[00:11:14.660 --> 00:11:14.860]   know
[00:11:14.860 --> 00:11:15.060]   that
[00:11:15.060 --> 00:11:15.260]   this
[00:11:15.260 --> 00:11:15.370]   is
[00:11:15.370 --> 00:11:15.510]   the
[00:11:15.510 --> 00:11:15.710]   good
[00:11:15.710 --> 00:11:15.900]   one
[00:11:15.900 --> 00:11:16.210]   not
[00:11:16.210 --> 00:11:16.420]   to
[00:11:16.420 --> 00:11:16.830]   play
[00:11:16.830 --> 00:11:17.800]   favorites
[00:11:17.800 --> 00:11:17.990]   or
[00:11:17.990 --> 00:11:18.830]   anything
[00:11:18.830 --> 00:11:19.140]   but
[00:11:19.140 --> 00:11:19.660]   earth
[00:11:19.660 --> 00:11:20.290]   really
[00:11:20.290 --> 00:11:20.500]   is
[00:11:20.500 --> 00:11:20.940]   the
[00:11:20.940 --> 00:11:21.230]   good
[00:11:21.230 --> 00:11:21.860]   planet
[00:11:21.860 --> 00:11:22.070]   it
[00:11:22.070 --> 00:11:22.280]  's
[00:11:22.280 --> 00:11:22.540]   an
[00:11:22.540 --> 00:11:22.820]   amazing
[00:11:22.820 --> 00:11:23.020]   it
[00:11:23.020 --> 00:11:23.210]  's
[00:11:23.210 --> 00:11:23.280]   it
[00:11:23.280 --> 00:11:23.420]  's
[00:11:23.420 --> 00:11:23.930]   amazing
[00:11:23.930 --> 00:11:24.190]   the
[00:11:24.190 --> 00:11:24.820]   ecosystem
[00:11:24.820 --> 00:11:24.930]   we
[00:11:24.930 --> 00:11:25.220]   have
[00:11:25.220 --> 00:11:25.570]   here
[00:11:25.570 --> 00:11:25.720]   all
[00:11:25.720 --> 00:11:25.860]   of
[00:11:25.860 --> 00:11:26.090]   the
[00:11:26.090 --> 00:11:26.360]   life
[00:11:26.360 --> 00:11:26.580]   and
[00:11:26.580 --> 00:11:26.780]   the
[00:11:26.780 --> 00:11:27.140]   lush
[00:11:27.140 --> 00:11:27.280]   uh
[00:11:27.280 --> 00:11:27.890]   the
[00:11:27.890 --> 00:11:28.440]   plant
[00:11:28.440 --> 00:11:28.960]   life
[00:11:28.960 --> 00:11:29.360]   and
[00:11:29.360 --> 00:11:29.610]   you
[00:11:29.610 --> 00:11:29.840]   know
[00:11:29.840 --> 00:11:30.250]   the
[00:11:30.250 --> 00:11:30.370]   water
[00:11:30.370 --> 00:11:30.970]   resources
[00:11:30.970 --> 00:11:31.630]   everything
[00:11:31.630 --> 00:11:31.890]   this
[00:11:31.890 --> 00:11:32.290]   planet
[00:11:32.290 --> 00:11:32.420]   is
[00:11:32.420 --> 00:11:32.820]   really
[00:11:32.820 --> 00:11:33.710]   extraordinary
[00:11:33.710 --> 00:11:34.000]   and
[00:11:34.000 --> 00:11:34.440]   of
[00:11:34.440 --> 00:11:34.780]   course
[00:11:34.780 --> 00:11:34.970]   we
[00:11:34.970 --> 00:11:35.680]   evolved
[00:11:35.680 --> 00:11:35.810]   on
[00:11:35.810 --> 00:11:36.150]   this
[00:11:36.150 --> 00:11:36.480]   planet
[00:11:36.480 --> 00:11:36.610]   so
[00:11:36.610 --> 00:11:36.730]   of
[00:11:36.730 --> 00:11:37.180]   course
[00:11:37.180 --> 00:11:37.270]   it
[00:11:37.270 --> 00:11:37.430]  's
[00:11:37.430 --> 00:11:37.870]   perfect
[00:11:37.870 --> 00:11:38.070]   for
[00:11:38.070 --> 00:11:38.190]   us
[00:11:38.190 --> 00:11:38.390]   but
[00:11:38.390 --> 00:11:38.530]   it
[00:11:38.530 --> 00:11:38.800]  's
[00:11:38.800 --> 00:11:38.930]   also
[00:11:38.930 --> 00:11:39.400]   perfect
[00:11:39.400 --> 00:11:39.710]   for
[00:11:39.710 --> 00:11:39.800]   all
[00:11:39.800 --> 00:11:40.000]   the
[00:11:40.000 --> 00:11:40.660]   advanced
[00:11:40.660 --> 00:11:41.050]   life
[00:11:41.050 --> 00:11:41.340]   forms
[00:11:41.340 --> 00:11:41.500]   on
[00:11:41.500 --> 00:11:41.810]   this
[00:11:41.810 --> 00:11:42.270]   planet
[00:11:42.270 --> 00:11:42.500]   all
[00:11:42.500 --> 00:11:42.730]   the
[00:11:42.730 --> 00:11:43.410]   animals
[00:11:43.410 --> 00:11:43.570]   and
[00:11:43.570 --> 00:11:43.740]   so
[00:11:43.740 --> 00:11:43.800]   on
[00:11:43.800 --> 00:11:44.030]   and
[00:11:44.030 --> 00:11:44.410]   so
[00:11:44.410 --> 00:11:44.540]   this
[00:11:44.540 --> 00:11:44.540]
[00:11:44.540 --> 00:11:44.860]   is
[00:11:44.860 --> 00:11:45.040]   a
[00:11:45.040 --> 00:11:45.360]   gym
[00:11:45.360 --> 00:11:45.560]   we
